$GPCHC,2314,547150.05,0.00,1.38,-0.20,0.68,-0.03,0.11,0.0035,0.0240,0.9967,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*65
$GPCHC,2314,547150.10,0.00,1.43,-0.18,0.66,-0.03,0.16,0.0032,0.0248,0.9965,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*62
$GPCHC,2314,547150.15,0.00,1.38,-0.19,0.66,-0.04,0.18,0.0033,0.0241,0.9959,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*64
$GPCHC,2314,547150.20,0.00,1.37,-0.16,0.57,-0.03,0.17,0.0027,0.0239,0.9966,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*6E
$GPCHC,2314,547150.25,0.00,1.34,-0.15,0.63,-0.06,0.18,0.0027,0.0233,0.9950,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*69
$GPCHC,2314,547150.30,0.00,1.40,-0.06,0.65,-0.04,0.15,0.0011,0.0243,0.9951,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*66
$GPCHC,2314,547150.35,0.00,1.43,-0.16,0.69,-0.01,0.18,0.0027,0.0249,0.9966,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*6E
$GPCHC,2314,547150.40,0.00,1.32,-0.23,0.68,-0.04,0.16,0.0040,0.0229,0.9969,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*6E
$GPCHC,2314,547150.45,0.00,1.39,-0.16,0.62,-0.10,0.15,0.0028,0.0242,0.9969,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*69
$GPCHC,2314,547150.50,0.00,1.37,-0.07,0.64,-0.02,0.14,0.0013,0.0239,0.9963,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*69
$GPCHC,2314,547150.55,0.00,1.35,-0.22,0.68,-0.04,0.19,0.0038,0.0234,0.9970,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*68
$GPCHC,2314,547150.60,0.00,1.44,-0.11,0.64,-0.08,0.22,0.0018,0.0250,0.9968,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*69
$GPCHC,2314,547150.65,0.00,1.39,-0.09,0.69,-0.02,0.16,0.0015,0.0241,0.9956,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*6F
$GPCHC,2314,547150.70,0.00,1.44,-0.14,0.66,-0.03,0.14,0.0024,0.0250,0.9969,29.74687467,106.55352958,275.72,-0.785,-0.078,0.822,0.788,0,0,01,0,2*6F
