default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.464,-0.079,-0.183,-0.263,-0.264,-0.307,-0.339,-0.340,-0.342,-0.419,-0.420
0.100,0.835,0.518,0.154,-0.041,-0.116,-0.167,-0.170,-0.176,-0.187,-0.245,-0.253
0.200,1.149,1.011,0.628,0.388,0.223,0.222,0.160,-0.025,-0.026,-0.031,-0.032
0.300,1.568,1.435,1.281,0.969,0.769,0.627,0.457,0.446,0.429,0.394,0.393
0.400,2.175,1.839,1.664,1.416,1.291,1.090,0.810,0.608,0.607,0.606,0.605
0.500,3.027,2.758,2.521,2.247,1.891,1.799,1.758,1.634,2.087,1.754,1.848
