default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.586,0.064,-0.183,-0.238,-0.239,-0.246,-0.247,-0.249,-0.252,-0.296,-0.451
0.100,0.475,0.063,-0.184,-0.239,-0.240,-0.288,-0.321,-0.349,-0.396,-0.486,-0.621
0.200,0.103,0.041,-0.356,-0.393,-0.433,-0.461,-0.477,-0.517,-0.558,-0.654,-0.795
0.300,-0.030,-0.279,-0.600,-0.645,-0.660,-0.708,-0.730,-0.751,-0.790,-0.884,-1.028
0.400,-0.349,-0.701,-0.956,-1.032,-1.078,-1.104,-1.105,-1.106,-1.121,-1.227,-1.367
0.500,-0.891,-1.179,-1.338,-1.353,-1.378,-1.450,-1.451,-1.523,-1.619,-1.729,-1.863
0.600,-1.484,-1.715,-1.892,-1.973,-2.100,-2.133,-2.195,-2.284,-2.342,-2.430,-2.563
0.700,-2.430,-2.696,-2.884,-3.017,-3.103,-3.158,-3.198,-3.239,-3.296,-3.383,-3.517
0.800,-3.687,-3.953,-4.144,-4.274,-4.359,-4.414,-4.455,-4.496,-4.552,-4.640,-4.774
