node_routing_core
Input Data length: 21736
x: 0.974114y: -3.48964s: 3.67304139
x: 0.987656y: -3.52733s: 3.71309140
x: 1.00991y: -3.61047s: 3.79915141
x: 1.01571y: -3.63042s: 3.81993142
x: 1.02151y: -3.65149s: 3.84178143
x: 1.03312y: -3.69361s: 3.88547144
x: 1.05731y: -3.78008s: 3.97526145
x: 1.09019y: -3.89093s: 4.09088146
x: 1.09697y: -3.91421s: 4.11513147
x: 1.10374y: -3.93749s: 4.13937148
x: 1.15114y: -4.10487s: 4.31334149
x: 1.17919y: -4.20575s: 4.41805150
x: 1.18596y: -4.23125s: 4.44443151
x: 1.1937y: -4.25674s: 4.47107152
x: 1.20821y: -4.30884s: 4.52515153
x: 1.29914y: -4.60149s: 4.83161154
x: 1.30785y: -4.62588s: 4.8575155
x: 1.31655y: -4.65138s: 4.88444156
x: 1.32429y: -4.67687s: 4.91109157
x: 1.36976y: -4.82763s: 5.06855158
x: 1.46262y: -5.1358s: 5.39041159
x: 1.47133y: -5.16352s: 5.41946160
x: 1.48003y: -5.19234s: 5.44957161
x: 1.52647y: -5.34864s: 5.61262162
x: 1.53614y: -5.37857s: 5.64408163
x: 1.65029y: -5.77542s: 6.05702164
x: 1.65899y: -5.80425s: 6.08713165
x: 1.6677y: -5.83307s: 6.11723166
x: 1.67544y: -5.86189s: 6.14708167
x: 1.72477y: -6.03925s: 6.33117168
x: 1.8186y: -6.37625s: 6.68099169
x: 1.82634y: -6.40396s: 6.70976170
x: 1.83408y: -6.43056s: 6.73747171
x: 1.84182y: -6.45828s: 6.76624172
x: 1.9134y: -6.71102s: 7.02893173
x: 1.92211y: -6.73984s: 7.05903174
x: 1.92985y: -6.76866s: 7.08888175
x: 1.99273y: -6.98261s: 7.31187176
x: 2.01304y: -7.0469s: 7.3793177
x: 2.02271y: -7.07905s: 7.41287178
x: 2.03045y: -7.10566s: 7.44058179
x: 2.03916y: -7.13226s: 7.46857180
x: 2.0469y: -7.15997s: 7.49734181
x: 2.08172y: -7.2797s: 7.62203182
x: 2.13202y: -7.43045s: 7.78096183
x: 2.1417y: -7.46038s: 7.81241184
x: 2.15234y: -7.49031s: 7.84418185
x: 2.21521y: -7.67211s: 8.03654186
x: 2.22489y: -7.70315s: 8.06905187
x: 2.26648y: -7.82509s: 8.19789188
x: 2.27712y: -7.85613s: 8.2307189
x: 2.2868y: -7.88606s: 8.26216190
x: 2.29744y: -7.9171s: 8.29497191
x: 2.34871y: -8.06675s: 8.45316192
x: 2.39708y: -8.21086s: 8.60517193
x: 2.40578y: -8.23746s: 8.63316194
x: 2.41545y: -8.26517s: 8.66251195
x: 2.43867y: -8.34166s: 8.74245196
x: 2.45028y: -8.38046s: 8.78294197
x: 2.46092y: -8.41815s: 8.82211198
x: 2.4851y: -8.48355s: 8.89184199
x: 2.53927y: -8.66203s: 9.07835200
x: 2.54895y: -8.70083s: 9.11834201
x: 2.55765y: -8.73741s: 9.15594202
x: 2.56636y: -8.7751s: 9.19462203
x: 2.58474y: -8.84937s: 9.27113204
x: 2.61279y: -8.96133s: 9.38656205
x: 2.72404y: -9.34155s: 9.78272206
x: 2.73855y: -9.38811s: 9.83149207
x: 2.75209y: -9.43578s: 9.88104208
x: 2.78111y: -9.53111s: 9.98069209
x: 2.8556y: -9.76723s: 10.2283210
x: 2.96587y: -10.1486s: 10.6252211
x: 2.98135y: -10.1996s: 10.6785212
x: 2.99586y: -10.2494s: 10.7305213
x: 3.01134y: -10.3004s: 10.7838214
x: 3.02585y: -10.3492s: 10.8347215
x: 3.04036y: -10.3969s: 10.8845216
x: 3.05487y: -10.4456s: 10.9354217
x: 3.08292y: -10.541s: 11.0347218
x: 3.15257y: -10.7793s: 11.283219
x: 3.16611y: -10.8281s: 11.3337220
x: 3.17869y: -10.8769s: 11.384221
x: 3.1932y: -10.9256s: 11.4349222
x: 3.26091y: -11.1651s: 11.6838223
x: 3.31315y: -11.338s: 11.8644224
x: 3.32669y: -11.3779s: 11.9065225
x: 3.34023y: -11.4167s: 11.9476226
x: 3.41279y: -11.6539s: 12.1957227
x: 3.45922y: -11.8623s: 12.4092228
x: 3.46792y: -11.9034s: 12.4512229
x: 3.47857y: -11.9455s: 12.4946230
x: 3.48921y: -11.9876s: 12.538231
x: 3.53854y: -12.1982s: 12.7544232
x: 3.54821y: -12.2404s: 12.7976233
x: 3.58691y: -12.3778s: 12.9404234
x: 3.60045y: -12.4233s: 12.9878235
x: 3.61206y: -12.4665s: 13.0326236
x: 3.62463y: -12.5108s: 13.0787237
x: 3.68945y: -12.7935s: 13.3687238
x: 3.69525y: -12.8212s: 13.397239
x: 3.70783y: -12.8667s: 13.4441240
x: 3.72137y: -12.911s: 13.4905241
x: 3.80746y: -13.1804s: 13.7733242
x: 3.85196y: -13.3134s: 13.9136243
x: 3.86647y: -13.3589s: 13.9613244
x: 3.88195y: -13.4021s: 14.0072245
x: 3.97578y: -13.667s: 14.2883246
x: 4.19343y: -14.2346s: 14.8961247
x: 4.21084y: -14.2767s: 14.9417248
x: 4.22826y: -14.3188s: 14.9873249
x: 4.26308y: -14.4042s: 15.0795250
x: 4.29694y: -14.4851s: 15.1672251
x: 4.49911y: -14.9396s: 15.6646252
x: 4.51556y: -14.9729s: 15.7017253
x: 4.53297y: -15.0072s: 15.7403254
x: 4.54942y: -15.0394s: 15.7764255
x: 4.58521y: -15.1026s: 15.849256
x: 4.621y: -15.168s: 15.9235257
x: 4.65776y: -15.2334s: 15.9986258
x: 4.6771y: -15.2655s: 16.0361259
x: 4.69645y: -15.2977s: 16.0736260
x: 4.71677y: -15.3287s: 16.1107261
x: 4.73708y: -15.3609s: 16.1487262
x: 4.75933y: -15.393s: 16.1878263
x: 4.78158y: -15.4296s: 16.2306264
x: 4.80383y: -15.4673s: 16.2744265
x: 4.82608y: -15.5039s: 16.3172266
x: 4.84832y: -15.5415s: 16.361267
x: 4.87154y: -15.5748s: 16.4016268
x: 4.89572y: -15.6081s: 16.4427269
x: 4.91991y: -15.6413s: 16.4838270
x: 4.97021y: -15.71s: 16.569271
x: 4.99536y: -15.7455s: 16.6124272
x: 5.02148y: -15.781s: 16.6565273
x: 5.04856y: -15.8165s: 16.7011274
x: 5.07565y: -15.8541s: 16.7475275
x: 5.10177y: -15.8918s: 16.7934276
x: 5.12885y: -15.9306s: 16.8407277
x: 5.15594y: -15.9683s: 16.8871278
x: 5.18206y: -16.0027s: 16.9303279
x: 5.20818y: -16.0382s: 16.9743280
x: 5.3436y: -16.2233s: 17.2037281
x: 5.39681y: -16.2987s: 17.296282
x: 5.42389y: -16.3352s: 17.3415283
x: 5.45001y: -16.3718s: 17.3864284
x: 5.50322y: -16.4394s: 17.4725285
x: 5.55545y: -16.5037s: 17.5553286
x: 5.63477y: -16.5991s: 17.6793287
x: 5.95303y: -16.9682s: 18.1667288
x: 5.98012y: -16.997s: 18.2063289
x: 6.0072y: -17.0259s: 18.2458290
x: 6.06524y: -17.0846s: 18.3284291
x: 6.17745y: -17.2043s: 18.4925292
x: 6.40188y: -17.4138s: 18.7995293
x: 6.42993y: -17.4393s: 18.8374294
x: 6.63114y: -17.6178s: 19.1064295
x: 6.77431y: -17.7442s: 19.2974296
x: 6.80526y: -17.7697s: 19.3375297
x: 6.83331y: -17.7874s: 19.3706298
x: 6.8604y: -17.8063s: 19.4036299
x: 6.88652y: -17.8251s: 19.4359300
x: 6.9136y: -17.8428s: 19.4682301
x: 6.93875y: -17.855s: 19.4962302
x: 6.98615y: -17.8839s: 19.5517303
x: 7.00937y: -17.8972s: 19.5784304
x: 7.09256y: -17.9537s: 19.679305
x: 7.11965y: -17.9736s: 19.7126306
x: 7.1448y: -17.9881s: 19.7416307
x: 7.30054y: -18.0701s: 19.9176308
x: 7.40598y: -18.12s: 20.0343309
x: 7.43307y: -18.1322s: 20.064310
x: 7.45919y: -18.1455s: 20.0933311
x: 7.48627y: -18.1577s: 20.123312
x: 7.51239y: -18.1699s: 20.1518313
x: 7.53947y: -18.1809s: 20.1811314
x: 7.56656y: -18.1954s: 20.2118315
x: 7.64975y: -18.2364s: 20.3045316
x: 7.75713y: -18.2863s: 20.4229317
x: 7.78325y: -18.294s: 20.4502318
x: 7.80936y: -18.3029s: 20.4778319
x: 7.8616y: -18.3184s: 20.5323320
x: 7.97575y: -18.3705s: 20.6577321
x: 8.1431y: -18.4359s: 20.8374322
x: 8.17018y: -18.4459s: 20.8663323
x: 8.19824y: -18.4559s: 20.896324
x: 8.36946y: -18.519s: 21.0786325
x: 8.39848y: -18.5301s: 21.1096326
x: 8.48554y: -18.5612s: 21.202327
